Q221310,Anggun C. Sasmi,penyanyi-penulis lagu Indonesia-Prancis
Q7416335,Sandiaga Uno,"pengusaha, politisi, dan Menteri Pariwisata dan Ekonomi Kreatif Indonesia ke-13,"
Q6147504,Titiek Puspa,pemeran perempuan asal Indonesia
Q965563,Buchtar Tabuni,politisi Indonesia
Q1942017,Ted Dekker,American writer
Q11216625,Ikke Nurjanah,penyanyi dan aktris Indonesia
Q1254045,Johan Carp,sailor
Q1393182,Ali Sadikin,Pahlawan Revolusi Kemerdekaan
Q2669297,Burhanuddin Harahap,Perdana Menteri Indonesia ke-9
Q1284250,Eddy du Perron,Dutch writer (1899-1940)
Q2277434,Soe Hok Gie,Aktivis Indonesia
Q2307624,Jenne Langhout,field hockey player (1918-2010)
Q2573084,Marius Klumperbeek,Dutch rower
Q3317190,Chelsea Olivia,pemeran perempuan asal Indonesia
Q4259936,Atiqah Hasiholan,pemeran perempuan asal Indonesia
Q61997527,Frederika Alexis Cull,model dan pemenang kontes kecantikan Puteri Indonesia 2019
Q38693736,Egy Maulana Vikri,pemain sepak bola Indonesia
Q25470942,Ratu Sikumbang,penyanyi Indonesia
Q5661029,Didi Kempot,penyanyi-penulis lagu Indonesia
Q19744463,Tulus,penyanyi Indonesia
Q3738184,Yos Sudarso,Pahlawan Revolusi Kemerdekaan
Q1850137,René Sparenberg,Dutch field hockey player
Q981398,Wahid Hasjim,Pahlawan Revolusi Kemerdekaan
Q461147,S. Antonius Budi Ariantho,badminton player
Q4250932,Oerip Soemohardjo,pahlawan nasional Indonesia
Q5104091,Choirul Huda,Indonesian footballer (1979-2017)
Q7585525,Goenawan Mohamad,"Indonesian journalist, editor and poet"
Q12522317,Tri Rismaharini,Menteri Sosial Indonesia ke-31
Q1925269,Hans Croon,Dutch football manager (1936-1985)
Q2603591,Oemar Said Tjokroaminoto,Pahlawan Revolusi Kemerdekaan
Q56394496,Nissa Sabyan,penyanyi Indonesia
Q1398584,Musso,Politisi Indonesia
Q12498500,Mieke Wijaya,pemeran perempuan asal Indonesia
Q254353,Minarti Timur,pemain dan pelatih bulu tangkis asal Indonesia
Q553892,Lipke Holthuis,ahli biologi asal Kerajaan Belanda
Q696748,Wang Gungwu,Singaporean academic
Q933276,Jack Kolle,Indonesian footballer
