Q221310,Anggun C. Sasmi,penyanyi-penulis lagu Indonesia-Prancis 
Q16179892,Hardisoesilo,politisi Indonesia
Q16187603,Karsiman Hady,
Q16188636,Anindika Widya,aktris asal Indonesia
Q17410427,Bambang Irianto,politisi Indonesia
Q17410429,Bambang Raya Saputra,Indonesian politician (born 1952 in Madiun)
Q17410791,Muhtarom,Indonesian politician
Q19749028,Topenk,pelawak tunggal
Q20278472,Adi Mulyono,
Q20427387,Djoko Susilo,
Q24285811,Richard Simorangkir,
Q25469069,Yoedhi Swastono,
Q25469072,Yoedhi Swastanto,
Q25469538,Yusuf Widyatmoko,Indonesian politician (born 1962)
Q28655275,M. Suyanto,Indonesian movie producer and writer (born 1960)
Q28723931,Bambang Soetjahyo,
Q31173140,Agung Firman Sampurna,Ketua BPK RI
Q31174189,Eddy Suyanto,
Q49254334,Sugeng Rismiyanto,politikus
Q49255894,Wirana Prasetya Budi,
Q56391881,Fiantika Ambadar,
Q56399891,Dedi Prasetyo,
Q61072604,Shirley Margaretha,pemeran perempuan asal Indonesia
Q61118971,Arif Bagus Prasetyo,Sastrawan Indonesia
Q85995136,Widjang Pranjoto,
Q89683572,Kim Soepnel,
Q97197909,Dudy Iskandar,Indonesian police officer
Q97202032,Harwin Dicky Wijanarko,anggota militer Indonesia
Q106879353,Nopek Novian,pelawak tunggal Indonesia
Q107449930,Sisca Dewi,Indonesian singer and actress
Q110099055,Herman Emile Mari Bakhuys,Military officer
Q110999046,Bagas Satrio,Indonesian footballer
Q112601546,Elidawati Ali Oemar,pengusaha Indonesia
Q19740508,Sunil Soraya,
Q19745411,Zeda Salim,
Q19747194,Philip Mantofa,pengkhotbah asal Indonesia
Q19747279,Dhamoo Punjabi,produser film
Q19751354,Bambang Tryasmono,
Q19751586,David Abraham,Indonesian lawyer
Q19751781,Firanda Andirja,Mubaligh Indonesia
Q19943728,Alim Markus,
Q19944379,Tarub,
Q20278448,Luthya Sury Widjaya,pemeran perempuan asal Indonesia
Q20278470,Muhammad Sarmuji,Indonesian politician
Q20278555,Yosi Warsa,
Q20278557,Anto Wijaya,Indonesian actor
Q20426743,Rateka Winner Lee,Wartawan dan YouTuber
Q22001744,Benny Carelsz,association football player (1947-2017)
Q22237489,Tiong Ang,Indonesian/Dutch artist
Q23841676,May Vollenga,Dutch singer and actor (1914-1992)
Q25461536,Asep Adang Supriyadi,
Q25462773,Bagas Dwi Bawono,Arsitek Indonesia
Q25463890,Wizzy,penyanyi dan pemeran perempuan asal Indonesia
Q25464034,Yudhit Ciphardian,pelawak tunggal
Q25464174,Pulung Siswantara,pelawak tunggal
Q25467189,Freddy Rangkuti,
Q25469133,Armuji,
Q25469796,Safeano Cahyo Wibowo,
Q25469911,Lulu Kurnia,pemeran perempuan asal Indonesia
Q25469963,Alba Fuad,Indonesian actress
Q25469968,Rania Putri Sari,Indonesian actress
Q25470134,Frega Wenas,
Q25913326,Agus Leo,Indonesian actor
Q26236927,Andy Carol,Indonesian actor
Q27651479,Daniel François Willem van Rees,Civil servant in the Netherlands Indies
Q28355715,Muljono,
Q28723739,Arif Alfiansyah,pelawak tunggal
Q28723747,Syaifuddin Zuhri,
Q28723752,Willem Rampangilei,
Q28723772,Yudi Satriyono,Indonesian politician (born 1959 in Surabaya)
Q28723782,Noval Firza,
Q28723964,Eva Rosdiana Dewi,Indonesian actress
Q28724131,Tri Soewandono,
Q28724160,Prasetio,
Q28724161,Mustofa,
Q28724245,Wuspo Lukito,
Q28724247,Indah Fajarwati,aktris Indonesia
Q28724292,Muktiono,
Q28724425,Machfud Arifin,
Q28724469,Paulus Fransiskus Josephus Karthaus,
Q29214227,Achmad Sjaichu,politisi Indonesia
Q29867837,Grace Ellen Barkey,artist
Q30013030,Heinrich Kiel,Dutch landscape and portrait painter (1877-1967)
Q31173036,Rahayu Purwanti,politikus
Q31173052,Satya Titiek Atyani Djoedir,
Q31173069,Irawan Karseno,pelukis asal Indonesia
Q31173085,Wirawan Ady Prasetya,atas konflik konflik bersenjata
Q31173106,Yulius Bustami,
Q31173523,Boy Sadikin,
Q31173948,Dwiarso Budi Santiarto,pegawai di Mahkamah Agung Ri
Q31173966,Chilla Kiana,penyanyi wanita Indonesia
Q31174137,Arida Nuraini Primastiwi,pemeran perempuan asal Indonesia
Q42088771,Huibert Krijgsman,Dutch politician (1907-1994)
Q42089067,Steven Mathijs Snouck Hurgronje,Dutch mayor
Q42607545,Klaus Kottmeier,
Q43793951,Georgine Eveline Poetiray,aktivis perempuan asal Indonesia
Q47455356,Yan Cherry Budiono,Indonesian actor
Q47455370,Randy Martin,pemeran laki-laki asal indonesia
Q47455378,Kevin Kahuni,Indonesian actor
Q47487026,Tjoa Sie Lian,
Q1951663,Nicolaas Jules Cesar van Polanen Petel,
Q2692929,Josef Ferdinand Arens,Dutch university professor
Q6109318,Rizal Djibran,actor
Q12470514,Abadi Soesman,
Q12481500,Didik Mangkuprojo,
Q12482886,Fessy Alwi,Public figure
Q12483094,Franda,pemeran perempuan asal Indonesia
Q12483609,Gc (7 Icons),pemeran dan penyanyi asal indonesia
Q12484980,Gusnul Yakin,pelatih sepak bola
Q12490637,Kemal Azis Stamboel,Indonesian politician
Q12495127,Lolita Agustine,pemeran perempuan asal Indonesia
Q12495491,Lucky Andreono,jurutama masak Indonesia
Q12495658,Luthfi Hasan Ishaaq,politikus
Q12500020,Nane Nindya,Indonesian presenter
Q12501021,Nurbuat,Indonesian actor
Q12501037,Nurul Taufiqu,
Q12501071,Nya' Abbas Akup,sutradara laki-laki asal Indonesia
Q12507466,Putri Violla,
Q12508949,Roweina Umboh,pemeran perempuan asal Indonesia
Q12518197,Susanna Caecilia,actor
Q12484310,Goenarso,Indonesian academic (1908-1992)
Q12498529,Miladia Rahma,
Q12507527,R. Hartono,politisi Indonesia
Q16164839,Ahmad Zainuddin,politikus
Q16166532,Amin Said Husni,Indonesian politician (born 1966)
Q16166547,"Amin, Bupati Ponorogo",
Q16181986,Ibnu Multazam,politisi Indonesia
Q16182994,Indartato,
Q17410344,Achmad Syafii,political candidate (from Jawa Timur; district Jatim XI in 2009)
Q17410498,Wardiman Djojonegoro,
Q17410775,Muhammad Haris,politikus
Q17410883,Nursuhud,politisi Indonesia
Q17410933,Hadi Poernomo,Ketua Badan Pemeriksa Keuangan (2009-2014)
Q17410955,Puput Tantriana Sari,
Q17410978,Didik J. Rachbini,politikus
Q17411021,Rendra Kresna,politikus indonesia
Q17411384,Siti Noor Laila,Ketua Komnas HAM RI 2013-2014
Q17411445,Sudijono Sastroatmodjo,
Q17411499,Sutarto Alimoeso,
Q19723754,Agus Radar Sucahyo,
Q19728646,M. Nurullah,
Q19728909,Mariorossen,
Q20426762,Roem Rowi,
Q25465165,Yuni Satia Rahayu,Politikus Indonesia
Q25467973,Toto Samsuri,politikus asal Indonesia
Q25469540,Karlina Inawati,pemeran perempuan asal Indonesia
Q25469906,Conny R. Semiawan,
Q25470206,Sri Mulyo Handoko,
Q30329724,Wil de Bras,Dutch singer
Q49254417,Ateng Yogasara,
Q55816278,Dwi Andika Cakra Yudha,pemain sepak bola Indonesia
Q56391003,Luluk Teguh Prabowo,Indonesian Air Force colonel (1982-2020)
Q56391112,Didik Mukrianto,Indonesian politician
Q56394094,Fianita,
Q56398657,Kholilurrahman,Indonesian politician
Q56416403,Muchlas Samani,
Q61119193,Arief Sulistyanto,Kepala Badan Pemelihara Keamanan Polri
Q61630703,Ecka Monic,penyanyi Indonesia
Q65211133,Han Gagas,Sastrawan Indonesia
Q65213850,Emi Suy,Sastrawan Indonesia
Q85909228,Indah Berliani Soetopo Jananto,Pengusaha Indonesia
Q85989055,Bambang Subiyanto,
Q85991928,Joko Warsito,
Q85993871,Ribut Hari Wibowo,
Q85994295,Setyo Boedi Moempoeni Harso,
Q85994601,Sujatmiko,
Q85994768,Supriyadi,
Q92076520,Didik Suhardi,
Q97216354,Djadjuli,Indonesian police officer
Q97238079,Imam Sardjono,Sastrawan jawa
Q97238140,Jarot Setyono,sastrawan asal Indonesia
Q97307213,Kekeyi,YouTuber dan penyanyi Indonesia
Q104053414,Nachrowi Thohir,Ulama
Q107227736,Farida Nurhan,YouTuber Indonesia
Q107681659,Urip Kartodirdjo,Attorney General at the Supreme Court of the Dutch East Indies
Q112119213,Gerard Koning,military officer
Q1234487,Dody Satya Ekagustdiman,Indonesian composer
Q1282748,Eddie DeHaas,American musician
Q1365262,Stewart Bernard,Dutch volleyball coach
Q1461984,Friedrich Schmidt-Bleek,German chemist
Q1659680,Imam Sodikin,badminton player
Q2182224,Frans Leidelmeijer,Dutch writer
Q2198034,Willem Hofstee,Dutch university teacher and psychologist
Q12472875,Awang Darmawan,pemeran laki-laki asal Indonesia
Q12485368,Harun Sjarief,pemeran laki-laki asal Indonesia
Q17411090,Roesmanhadi,
Q110035292,Surya Maulana,Indonesian footballer
Q110102315,Robert Ronny,produser film asal Indonesia
Q110158956,Hendrik Juliaan Otten,Military officer
Q110422223,Didik Ariyanto,Indonesian footballer
Q110729135,Insyafadya Salsabillah,Indonesian footballer
Q110775693,Prosper Henri Julius van Lawick,civil servant
Q110943251,Dicky Kurniawan,footballer
Q110963184,Willem Jacques Adriaan Klunder van Gijen,Dutch entomologist and salesman
Q110990618,Widi Syarief,Indonesian footballer
Q111141920,Twie Giok Tjoa,
Q111465318,Ronald Ottenhoff,
Q111917373,Frits Engelbrecht Broers,military officer
Q111967174,Pieter Antoine Coors,military officer
Q112040933,Hendrik Groothuizen,Royal Dutch East Indies personel
Q112041174,Anton Gerard Gout,police officer in the Netherlands Indies
Q112074417,Johannes Frederik van Hutten,military officer
Q112126779,William de Leeuw,Royal Dutch East Indies Army personel
Q113502655,Amanda Saleh-Hartman,
Q114073698,Nethania Irawan,badminton player
Q12522748,Tungki Ariwibowo,"Tungki Ariwibowo, adalah mantan Menteri Perindustrian dan Perdagangan pada periode 1993 - 1998"
Q15882835,Th. Ch. L. Wijnmalen,
Q16167988,Arief Koeshariadi,Indonesian military personnel
Q16171379,Indra Brasco,Indonesian actor
Q16174991,Djoko Mukti Haryono,
Q16175367,Dwi Cahyono,
Q16176076,Endang Agustini Syarwan,politisi Indonesia
Q16180223,Haryanti Sutrisno,pengusaha Indonesia
Q16181094,Herry Setianegara,
Q16182636,Imam Buchori,
Q16188339,Lucky Acub Zaenal,
Q17410516,Ria Enes,Indonesian singer
Q17410567,Hariyono,
Q17410612,Amirul Isnaini,
Q17410730,Milawarma,
Q17410781,Muhammad Nurkhoiron,
Q17410940,Vanya Pranashinta,Indonesian singer
Q17411357,Sigit Widyonindito,
Q17411465,Sumadi,
Q17411568,Taufik Hidayat,politisi Indonesia
Q17998066,Amien Sunaryadi,Politisi Indonesia
Q18421428,Soeyono,
Q18421451,Theresia Widia Soerjaningsih,rektor pertama Universitas Bina Nusantara
Q18421468,Waris,officer of the Indonesian Army
Q19723816,Aira Sondang,Sutradara berkebangsaan Indonesia
Q19724077,Ayya Renita,pemeran perempuan asal Indonesia
Q19724143,Fikri Baladraf,Indonesian actor
Q19726297,Herry Wibowo Eslah,
Q19726516,Imam Sugianto,
Q19732778,Sekti Ambarwati,
Q19733320,Sherly Mey,Indonesian actor
Q19734380,Siswoyo Hari Santoso,
Q19737604,Anton Setiadi,Indonesian politician (born 1959 in Malang)
Q19747238,Prijono Tjiptoherijanto,Indonesian writer
Q19753020,Widodo Dwi Purwanto,
Q20278333,Achmad Hudan Dardiri,
Q20278477,Natasha Ratulangi,actor
Q25462033,Adityanta Dani,Indonesian comedian
Q25464199,Andyawan Martono Putra,
Q25464998,Reggy Hasibuan,
Q25466631,Firman Achmadi,
Q25467792,Listiyarto,
Q25469424,Wima Brahmantya,
Q25469878,Tri Wahyudi Sukarno,
Q25470442,Dayu Wijanto,aktris Indonesia
Q26236932,Eko Edi Santoso,
Q28723802,Bambang Sunarwibowo,
Q29051431,Muhammad Imam,boxer
Q31172883,Hendro Pandowo,
Q31174496,Firman Singa,
Q33108805,Hedi Hariyanto,seniman Indonesia
Q46542910,Admira Wijaya,
Q47008718,Edgar Beyfuß,
Q47129597,Anton Zeven,
Q49250615,Faida,Indonesian politician (born 1968 in Malang)
Q49251023,Goenawan,
Q49251219,Mulyadi,
Q49252317,I Made Wahyu Santoso,
Q49252403,Ken Dwijugiasteadi,Dirjen Pajak Kemenkeu Indonesia ke-16
Q49253362,Amara Sophie,pemeran perempuan asal Indonesia
Q49254381,Norman Sasono,
Q49255229,Dwi Irbaya Sandra,
Q2834398,Arie Koesmiran,pemeran perempuan asal Indonesia
Q5311760,Dudi Hidayat,Indonesian footballer
Q11691412,Maria Eva,Indonesian singer
Q12499380,Muhammad Saleh Werdisastro,
Q16162025,A.Rifai,Indonesian military personnel
Q16162818,Abuya Busyro Karim,
Q16176788,Fannan Hasib,Sampang regent in Indonesia
Q17410403,Asma'i,Indonesian military personnel
Q17411193,Said Abdullah,Indonesian politician
Q17411205,Saiful Ilah,politisi Indonesia
Q17411473,Sunartoyo,politisi Indonesia
Q18421448,Syukron Ma'mun,Indonesian politician
Q19726793,Jamal D. Rahman,Indonesian artist
Q19943396,Hasani,Indonesian politician
Q20426588,M. Soebijakto,
Q25463863,Irwan Krisdiyanto,penyanyi Indonesia
Q25467113,R. Edi Surjanto,
Q25469615,Setyo Haryosono,
Q25470637,Choirun Nasirin,pemain sepakbola
Q28723813,Amir Faishol Fath,
Q49248494,Chairil Anwar,
Q56394163,Wahyu Togog,
Q56398756,Sunarto,
Q56400025,Sudarman,sejarawan Indonesia
Q56414471,A'yat Khalili,penulis asal Indonesia
Q61118291,Iwan Isnurwanto,
Q56394468,Suliono,
Q56398882,Agus Mustofa,
Q56399280,Indra Jafar,
Q56399846,Sofyan Edi Jarwoko,
Q56400095,Bangkit Rahmat Tri Widodo,
Q59209781,Jamalidin Novardianto,Indonesian cyclist
Q61118224,Suroso Hadi Siswoyo,
Q61118462,Muhammad Bisri,
Q61118583,Gusti Made Yoga Ambara,
Q65211336,Seno Joko Suyono,
Q65212167,Kadet Soewoko,
Q74784045,Anang Syarif Hidayat,regional police chief of the Bangka Belitung Islands in Indonesia
Q79076566,Titan Agung,Indonesian footballer
Q85909192,Utomo Josodirdjo,Akuntan Indonesia
Q85988763,Andika Pandu Puragabaya,politikus Indonesia
Q85989051,Bambang Soepeno,
Q85990672,Devina Aureel,aktris dan selebriti dunia maya berkebangsaan Indonesia
Q85990946,Eko Hadi Santoso,
Q85991677,Imam Widodo,
Q85992609,Marsudianto,
Q85993045,Muslihan Sulchan,
Q85993176,Nawawi,
Q85994151,Sanusi,bupati Malang ke 20
Q85994567,Sugeng Hariyanto,
Q85994997,Trunoyudo Wisnu Andiko,
Q85995343,Yuniar Ludfi,
Q97193380,Bima Azriel,pemeran laki-laki asal Indonesia
Q97211346,Ahmad Rofiq,"Politisi, Sekjen Partai Perindo"
Q97307300,Indro Wiyono,
Q97307566,Dhanu Syahputra,Indonesian association football player
Q97590604,Awang Ferdian Hidayat,Indonesian politician
Q102715253,Tutus Thomson,pemeran laki-laki asal Indonesia
Q105803100,Muhammad Hasanuddin Wahid,"politikus Indonesia, Sekretaris Jendral Partai Kebangkitan Bangsa periode 2019-2024"
Q105804204,Sandy Ferizal,Indonesian association football player
Q108435142,Hamzah Titofani,Indonesian footballer
Q12473901,Bambang Utoyo,
Q12485056,Haeny Relawati Rini Widyastuti,Indonesian politician
Q12499589,Murdjani,"mantan gubernur Jawa Barat, Jawa Timur, Kalimantan"
Q12500875,Nomo Koeswoyo,Indonesian singer
Q12518051,Supeni Pudjobuntoro,politisi Indonesia
Q12525276,Yon Koeswoyo,Musikus Indonesia
Q16166054,Ali Maschan Moesa,politikus
Q16176870,Fathul Huda,Indonesian politician
Q16178336,Ghufron,
Q16181301,Muhammad A.S. Hikam,Indonesian politician
Q16188234,Imey Liem,Indonesian actress
Q17410434,Putut Eko Bayu Seno,
Q17410525,Fara Noor,Indonesian actor
Q17410647,Rumiah Kartoredjo,
Q17410800,Mulyadi WR,
Q17411107,Mochamad Romly,
Q17411434,Subekti,perwira militer Indonesia
Q17411515,Syahri Mulyo,Syahri Mulyo adalah seorang koruptor.
Q17411714,Yogi Sugito,
Q19726134,Hadi Prasojo,
Q19745584,Sri Bintang Pamungkas,Indonesian politician
Q19745882,Hermanu Triwidodo,Dosen
Q19752825,Suhardi Somomoeljono,
Q25469599,Bambang Sujarwo,
Q25469995,Gathut Setyo Utomo,
Q25470055,Eko Susetyo,
Q25470399,Hertanto,
Q25471349,Sutjipto,
Q28354443,Soerjadi,"military personnel, badminton executive and administrator (1942-2016)"
Q49255110,Widi Prasetijono,
Q56416466,Mudjito,
Q61119191,Muhammad Lefand,Sastrawan Indonesia
Q61714755,Boedisoesetya,guru besar di Universitas Gajah Mada
Q63970089,Moenadi,Governor of Java
Q65209306,Pribadi Poedjajadi,
Q65210346,Purbo Prastowo,
Q69832868,Bobby Setiabudi,badminton player
Q74796806,Ratna Juwita Sari,anggota DPR Fraksi PKB
Q85579315,Bagus Nirwanto,Indonesian footballer
Q85988900,Aries Andhi,
Q89888335,Yuwono,akademisi Indonesia
Q97194243,Hamli,
Q97194336,Ibnu Burdah,penulis dan Guru Besar Kajian Dunia Arab UIN Sunan Kalijaga Yogyakarta
Q97307125,Fattah Jasin,Bakorwil Pamekasan (Des 2019 - September 2020)
Q97373147,Bambang Priyambadha,
Q97704945,Achmad Amir Aslichin,Indonesian politician
Q104853530,Indra Adi Nugraha,Indonesian association footballer
Q106580348,Jan Paul Willem Segov,Military officer
Q108268513,Wouter Jacobus Bernardus Baudoin,Non-commissioned officer in the Netherlands Indies
Q108906815,Bahril Fahreza,Indonesian footballer
Q2961941,Will Marie Otto,
Q4661037,Aa Tarmana,Indonesian mayor
Q4754459,Andika Naliputra,Indonesian musician/keyboardist/founder/Peterpan band
Q12484982,Gustav Aulia,
Q16164929,Ahman,Indonesian physician
Q17410345,Ade Irawan,politikus Indonesia
Q20278548,Udin Winataputra,
Q25465921,Uci Sucita,pemeran perempuan asal Indonesia
Q25467194,K.H. Abdurrahman,
Q25469880,Marwan Hamami,Indonesian politician (born 1963)
Q56159211,Rd. Tohny Joesoef,seniman asal Indonesia
Q56393522,Tantan Sulistyana,
Q56417026,Mas Yedi Sumaryadi,
Q65208020,Asep Nata,
Q65208925,Didin Wahidin,"Dokter. H. Didin Wahidin, M.Pd"
Q65213489,Ruhimat,
Q85988433,Adde Rosi Khoerunnisa,politikus Indonesia
Q85993362,Ojat Darojat,
Q96482686,Ukman Sutaryan,birokrat Indonesia
Q106878534,Cecep Nurul Yakin,politikus Indonesia dan Wakil Bupati Tasikmalaya ke-5
Q56393756,Sugeng Teguh Santoso,
Q56399770,Adhyatma,
Q56400032,R. Agung Handoko,
Q60642571,Johan Ranneft,Dutch military personnel (1886-1982)
Q61118288,Umar Surya Fana,
Q61118522,Tri Legionosuko,
Q61118793,Dana Paramita,
Q61119292,Agus Setiadji,
Q61825473,Rob Erenstein,dosen
Q65205143,Susilo,
Q65209046,Joko Fitrianto,
Q65209562,Arbain Rambey,fotografer Indonesia
Q65210443,Cholid Mahmud,politisi dan ulama Indonesia
Q65211135,Harjanto Halim,Pengusaha Indonesia
Q66360951,Ernst Verbeek,
Q74022470,Adrianus Purnomo,Indonesian football player
Q82576000,Theodorus Jacobus Veltman,
Q83606470,Alfonsus Nindityo Adipurnomo,pelukis kontemporer asal Indonesia
Q85988485,Agus Dwi Ariyanto,
Q85989010,Azis Andriansyah,
Q85991076,Farah Puteri Nahlia,Indonesian politician
Q85991521,Heru Novianto,
Q85994509,Sri Fahrudin Bisri Slamet,
Q96986928,Luqman Hakim,Indonesian politician
Q96988001,Agustina Wilujeng Pramestuti,Indonesian politician
Q96988769,Eva Yuliana,politikus Indonesia
Q97306960,Ali Muhammad Tajul Mulk Putra Mudaffar Sjah,
Q97306998,Bedjo Sulaksono,Indonesian police officer
Q97307127,Gajah Mada Satria Nagara Putra Mudaffar Sjah,
Q97307184,Nita Budhi Susanti,Indonesian politician (born 1968)
Q98115308,Asfirla Harisanto,politikus asal Indonesia
Q98423728,Johan George Otto Stuart von Schmidt auf Altenstadt,Dutch politician
Q104503010,Tegar Infantrie,Indonesian association football player
Q105728304,Gerard Herman Theunissen,Dutch prisoner-of-war in World War II
Q105846345,Gerrit Karel Altman,Royal Dutch East Indies Army sergeant
Q105849716,Hermanus Johannes Elias Frans Schwartz,Recipient of the Military Order of William
Q106469331,Herman Mathijs Beelt,Non-commissioned officer (1885-1916)
Q106485727,Pieter Henri Bodemeijer,Military officer
Q106594080,Johan Karel Frederik Hendrik von Schmidt auf Altenstadt,Civil servant in the Netherlands-Indies (1857-1901)
Q106601400,Johann Albert Charles von Schmidt auf Altenstadt,Military officer (1858-1897)
Q106654993,Edward Hoenson,Non-commissioned officer
Q106953422,Jan de Vaal,"Dutch film scholar, archivist and exhibition curator"
Q107647148,Frits Franssen,Military officer in the Netherlands Indies
Q107658427,August Alexander van Blommestein,Military officer in the Netherlands Indies
Q108039729,Frederik Willem Janitz,Military officer
Q108267286,Hermanus Gerardus Baudoin,Military officer of the Netherlands Indies
Q108473970,Willem Johannes Gottlob Vosmaer,Civil servant in the Netherlands Indies (1847-1908)
Q108487907,Willem de Vogel (1848-1922),Civil servant in the Netherlands Indies
Q108526056,Cornelis Hendrik Lenshoek,Dutch professor of neurosurgery
Q108688797,Josef Ferdinand Verhoog,Civil servant in the Netherlands Indies
Q108830672,John Thomas White,Civil servant in the Netherlands Indies
Q17411693,Hans Wospakrik,Fisikawan Indonesia
Q49251321,F.X. Soejitno,political candidate (DPR 2004 district: NTT II)
Q49251927,Gilbert Pangalila,Indonesian model
Q49252000,Anita Tourisia,Indonesian singer
Q49252040,Tavip Yulianto,
Q49252220,Dukut Imam Widodo,Indonesian novelist
Q49252278,Charles Alling,perwira TNI
Q49253863,Markus Martua Pakpahan,
Q49256522,Tatit Eko Witjaksono,
Q50418667,Otto Glastra van Loon,
Q53703416,Aviansyah Aan,
Q55235835,Franck Gribling,artist
Q55238557,Amang Rahman Jubair,Pelukis
Q55486587,Dasapta Erwin Irawan,peneliti dan dosen geohidrologi
Q56391996,Wahyu Sudiro,
Q56393977,Daslan Cukup,pelawak tunggal
Q56394227,Haris Teguh,
Q56394385,Munif Chatib,"penulis, konsultan, dan praktisi pendidikan asal Indonesia"
Q56398653,Twindy Rarasati,
Q56399528,Bambang Guritno,
Q56399530,Dadang Hartanto,
Q56399685,Yimmy Kurniawan,
Q56399737,Adi Deriyan Jayamarta,
Q56399817,Soehario Padmodiwirio,(1921-2014)
Q56400173,Lestari Moerdijat,Indonesian politician
Q56416503,Agus Sunyoto,penulis dan sejarawan Indonesia
Q57599060,Mas Alwi Abdul Aziz,Ulama
Q57600045,Ali Albar,pemeran laki-laki asal Indonesia
Q61108758,Gerard Leonard Smit Sibinga,dosen
Q61119148,Kunto Arief Wibowo,
Q61119201,Mirna Anissa,Bupati Kendal
Q61367689,R. Wisnoe Prasetja Boedi,
Q61653592,W.A. Braasem,Dutch writer (1918-1987)
Q61714799,Soedarsono,hakim Mahkamah Konstitusi Indonesia
Q61758662,Abdulkadir Jailani,diplomat
Q64355650,Miftachul Akhyar,Ulama Indonesia
Q64515916,A.H. Wiebenga,
Q65210116,Reynold Poernomo,jurutama masak Indonesia-Australia
Q65212122,Weni Suryandari,Sastrawan Indonesia
Q65213555,Nur Virzha Ikhtiarini,penyanyi Indonesia
Q65589385,John Lambertus van Ligten,Dutch coxswain
Q69380417,Asyraq Gufron,Indonesian association football player
Q80698240,Irsan Husen,Indonesian weightlifter (1940-2007)
Q85840364,Kokok Dirgantoro,Indonesian politician
Q85909558,Jonosewojo,Mantan Ketua PELTI
Q85988383,Abubakar Aldjufri,
Q85988400,Achmad Baiquni,
Q85988523,Ahmad Luthfi,Indonesian police officer
Q85988867,Aprilia Putri,
Q85991158,Fredy Amin,
Q85991664,Iksantyo Bagus Pramono,
Q85991986,Julianto Eka Putra kontol,
Q85992517,Maharani Listya,
Q85992888,Mochamad Nur Arifin,Indonesian politician (born 1990)
Q85992931,Moira Tabina Zayn,pemeran perempuan asal Indonesia
Q85993755,Radityo Wahyu Senoputro,model Indonesia
Q87914073,Jacques Waisvisz,"Dutch Jewish Engelandvaarder, chemist and discoverer of natamycin (1918-2020)"
Q93504875,Marianne Bierenbroodspot,Dutch journalist
Q96989115,Anis Byarwati,politikus Indonesia
Q97168979,Aan Aviansyah,
Q12485584,Heriyono,
Q12486359,Imam Munandar,
Q12499389,Muhammad Thoha Ma'ruf,
Q12515765,Soenarjo,seniman dalang dan politikus Indonesia
Q12515784,Soeryo Goeritno,
Q16162175,Abdul Azis Suseno,politikus
Q16177751,Gatot Subiyaktoro,
Q16181049,Herry Noegroho,Indonesian politician (born 1957 in Blitar)
Q17410868,Noura Dian Hartarony,politisi Indonesia
Q18421264,Kurnia Dewantara,
Q19723964,Samanhudi Anwar,politikus
Q19745415,Siti Zuhro,
Q25456690,Raden Hardjokromo,
Q25464426,Arif Afandi,
Q25464802,Dwi Sasongko,Tentara Indonesia
Q25469696,Budi Susilo,
Q25469917,Kies Slamet,
Q28723790,Asep Subarkah Yusuf,
Q56394451,Ken Radhiq,
Q56399199,Endang Kusuma Inten Soeweno,
Q56417052,Mochammad Jasin,Politisi Indonesia
Q60693634,Sugiyono,
Q61118426,Widjoyo Suyono,
Q61118665,Irenne Ghea Monderella,penyanyi Indonesia
Q61118875,Istiono,
Q61118914,Mohamad Hanif Wicaksono,
Q62609735,Ary Suharno,penulis Indonesia
Q65212178,Marzuqi Mustamar,
Q85909299,Sugandhi Kartosubroto,tantara Indonesia
Q85988365,Abdurrahman Suhaimi,
Q85991901,John Martono,Seniman Indonesia
Q85994484,Sonny Septiono,
Q109323612,Yus Yunus,Indonesian singer
Q2030990,Aksel Quintus Bosz,"Surinamese jurist, politician and professor (1915-1993)"
Q2392638,Gerrit Jan Heering,dosen
Q5528077,Winnie Arendsen de Wolff,
Q12470611,Abraham Alex Tanuseputra,pendeta dan tokoh gereja di Indonesia
Q12496620,Mang Udel,pemeran laki-laki asal Indonesia
Q16167177,Andry W. Bastam,
Q16174886,Djalal,Indonesian comedian
Q16183567,Irsyad Yusuf,politisi Indonesia
Q17410815,Mustofa Kamal Pasa,
Q17411413,Soemintarsih Muntoro,politisi Indonesia
Q18608034,H.Th. Hesselaar,Dutch painter
Q19723911,Anang Dwitono,
Q19745208,Wina Natalia,singer from Indonesia
Q20426392,Bens Leo,pengamat dan wartawan musik asal Indonesia
Q21340303,Dwi Listyo Rahayu,karsinologi dari Indonesia
Q25467889,Sodiq Monata,penyanyi Indonesia
Q28724187,Pandu Eka Prayoga,
Q28724402,Budi Eko Mulyono,
Q28771632,Malvin Éka,Indonesian singer and songwriter
Q31174023,Anastasius Sumadi,
Q61824960,W. P. Plate,
Q85991402,Harry Darsono,perancang busana asal Indonesia
Q96075715,Eri Soedewo,"Konseptor Perjuangan Kemerdekaan, Jenderal, Rektor, Duta Besar"
Q97215237,Andreas Wayan Wicaksono,Indonesian police officer
Q97704954,Anwar Efendi,Indonesian police officer
Q107135266,Jacques Brijl,Military officer
Q107808301,Louis de Stuers,Civil servant in the Netherlands Indies (1870-1937)
Q108059820,August Anton Dijkstra,Military officer (1873-1944)
Q108617725,Yoga Arizona,pembuat konten Indonesia
Q109715882,Faiz Iqbal,Indonesian footballer
Q110552516,Supriyadi Eeng,Indonesian footballer
Q111937563,Pieter Bruijn,military officer
Q111938248,Willem George Frederik Buning,military officer
Q112121011,Gerardus de Lang,police officer in the Netherlands Indies
Q112630357,Wilhelmus Arnoldus van Oorschot,military officer
Q5807065,Dike Ardilla,Indonesian singer
Q6011198,Merry Andani,Indonesian singer
