Q2509252,sultan Yogyakarta
Q468329,mantan pemain bulu tangkis asal Indonesia
Q517317,politikus dan pemeran laki-laki asal Indonesia
Q973183,Dutch geologist (1904-1983)
Q1752594,Indonesian badminton player
Q2746623,pemeran perempuan asal Indonesia
Q707282,pemeran laki-laki asal Indonesia
Q6761642,mantan Menteri Sosial pada Kabinet Sjahrir II dan anggota BPUPKI
Q9015409,pemeran perempuan asal Indonesia
Q289858,Perdana Menteri Indonesia ke-6
Q183581,Politikus
Q2978474,politisi Indonesia
Q909047,penyanyi dan pelawak Indonesia
Q5431566,politisi Indonesia
Q706168,Dutch Luitenant-Admiraal of World War II
Q3294779,Ibu Negara Indonesia ke-3
Q3353214,field hockey player
Q85994941,penyanyi dan pemeran perempuan asal Indonesia
Q97307421,penyanyi-penulis lagu Indonesia
Q454136,Dutch singer
Q643644,"Dutch writer, journalist and adventurer"
Q3505523,Indonesian footballer
Q6641514,penyanyi Indonesia
Q11310259,Dutch-Australian human rights activist campaigning against war rape
Q76333,Wakil Presiden Indonesia ke-6
Q639329,Dutch Nazi (1894-1945)
Q2204754,Dutch rower
Q11213850,pemeran perempuan asal Indonesia
Q4250968,Pahlawan Revolusi Kemerdekaan
Q4699763,pengarang Indonesia
Q459474,presenter televisi Indonesia
Q545750,Dutch singer and songwriter (1936-2020)
Q465053,badminton player
Q2669336,sutradara film Indonesia
Q4695300,"ulama Indonesia, pendiri Muhammadiyah"
Q1806448,Dutch equestrian
Q28962233,21st-century Indonesian Catholic bishop
Q2826050,pelukis Indonesia
Q5653028,pemeran perempuan asal Indonesia
Q5629065,Pahlawan Revolusi Kemerdekaan
Q2915833,Pahlawan Revolusi Kemerdekaan
Q7416335,"pengusaha, politisi, dan Menteri Pariwisata dan Ekonomi Kreatif Indonesia ke-13,"
Q6147504,pemeran perempuan asal Indonesia
Q965563,politisi Indonesia
Q1942017,American writer
Q11216625,penyanyi dan aktris Indonesia
Q1254045,sailor
Q1393182,Pahlawan Revolusi Kemerdekaan
Q2669297,Perdana Menteri Indonesia ke-9
Q1284250,Dutch writer (1899-1940)
Q2277434,Aktivis Indonesia
Q2307624,field hockey player (1918-2010)
Q2573084,Dutch rower
Q3317190,pemeran perempuan asal Indonesia
Q4259936,pemeran perempuan asal Indonesia
Q61997527,model dan pemenang kontes kecantikan Puteri Indonesia 2019
Q38693736,pemain sepak bola Indonesia
Q25470942,penyanyi Indonesia
Q5661029,penyanyi-penulis lagu Indonesia
Q19744463,penyanyi Indonesia
Q3738184,Pahlawan Revolusi Kemerdekaan
Q1850137,Dutch field hockey player
Q981398,Pahlawan Revolusi Kemerdekaan
Q461147,badminton player
Q4250932,pahlawan nasional Indonesia
Q5104091,Indonesian footballer (1979-2017)
Q7585525,"Indonesian journalist, editor and poet"
Q12522317,Menteri Sosial Indonesia ke-31
Q1925269,Dutch football manager (1936-1985)
Q2603591,Pahlawan Revolusi Kemerdekaan
Q56394496,penyanyi Indonesia
Q1398584,Politisi Indonesia
Q12498500,pemeran perempuan asal Indonesia
Q254353,pemain dan pelatih bulu tangkis asal Indonesia
Q553892,ahli biologi asal Kerajaan Belanda
Q696748,Singaporean academic
Q933276,Indonesian footballer
Q3181117,pahlawan nasional Indonesia
Q4695305,musikus Indonesia
Q29145414,model dan pemenang kontes kecantikan Miss International 2017 asal Indonesia
Q4201122,sutradara laki-laki asal Indonesia
Q706175,Dutch footballer
Q3093044,Indonesian footballer (1912-1951)
Q4202141,Pahlawan Revolusi Kemerdekaan
Q4264456,penyanyi asal Indonesia
Q12525054,pemeran laki-laki asal Indonesia
Q769919,Indonesian footballer
Q4931574,Pesepakbola Indonesia
Q2489084,Pahlawan Revolusi Kemerdekaan
Q4264085,pahlawan nasional Indonesia
Q4201482,pahlawan nasional Indonesia
Q4131734,penyanyi Indonesia
Q525472,Dutch rally driver and inventor (1911-1998)
Q449688,Dutch mycologist (1908-1972)
Q608792,Indonesian priest
Q4754513,Seorang Actor dan Jurnalis yang berasal dari Indonesia
Q3656008,Pahlawan Revolusi Kemerdekaan
Q87184,Austrian actress
Q585982,badminton player
Q145877,Pahlawan Revolusi Kemerdekaan
Q2605059,pahlawan nasional Indonesia
Q5068118,Pahlawan Revolusi Kemerdekaan
Q12525366,21st-century Indonesian Catholic archbishop
Q576362,Dutch singer and songwriter
Q1375653,American musician
Q2524065,Dutch zoologist
