Q187415,Zelin Resiana
Q7585838,Sri Indriyani
Q12470581,Abdulrahman Saleh (pahlawan)
Q12470600,Abimana Aryasatya
Q12505429,Pevita Pearce
Q12507600,Rachmawati Soekarnoputri
Q12500705,Nia Zulkarnaen
Q12523268,Unique Priscilla
Q12478398,Cassanova Alfonso
Q13097203,Soerjadi Soedirdja
Q357640,Teuku Jacob
Q4259946,Teuku Muhammad Hasan
Q3634460,Gedong Bagus Oka
Q26227897,Memo
Q26254261,Rufino Gama
Q25468646,Stephanie Poetri
Q117220,Pia Zebadiah
Q4201513,Sutoyo Siswomiharjo
Q5111674,Yuni Shara
Q6892160,Mahfud MD
Q12480888,Dapunta Hyang
Q12487847,Jessica Mila Agnesia
Q463093,Sigit Budiarto
Q11109918,Abdul Malik Fadjar
Q4990753,Rinni Wulandari
Q320928,Eddy de Neve
Q353459,Ade Chandra
Q469616,Endang Rahayu Sedyaningsih
Q1061866,Christian Sugiono
Q1334791,Satrio Hermanto
Q1396599,Linda Weni Fanetri
Q1523130,Marcus Fernaldi Gideon
Q1619725,Piet Salomons
Q1635435,Djenar Maesa Ayu
Q44988077,The Sacred Riana
Q1993617,Mira Lesmana
Q2053428,Qory Sandioriva
Q3545963,Leila S. Chudori
Q3663579,Kamila Andini
Q1136098,Cosmas Michael Angkur
Q6854752,Idham Chalid
Q15533047,Masita Mahmudin
Q4259877,Kurnia Meiga Hermansyah
Q4264970,Pinkan Mambo
Q4460863,Titi Rajo Bintang
Q4695486,Ahmad Taufik
Q4815122,Marie Beatrice Schol-Schwarz
Q5249736,Deddy Mizwar
Q961117,Rudy Kousbroek
Q4724605,Ali Akbar Navis
Q5296722,Donny Alamsyah
Q6136277,Surya Saputra
Q2419755,Fiona Tan
Q2053679,Maria Selena
Q4198988,Tantowi Yahya
Q97222180,Lyodra Ginting
Q7694770,Teguh Karya
Q7476090,Shireen Sungkar
Q1106653,Coen Zuidema
Q1702607,Joko Suprianto
Q2202270,Amien Rais
Q2330098,Pakubuwana X
Q2417617,Pakubuwana IX
Q3502316,Mardiyanto
Q4726672,Alimin
Q6723714,Soesanto Tirtoprodjo
Q7399523,Saharjo
Q1385041,Nicolaus Adi Seputra
Q12483575,Gatot Nurmantyo
Q448673,Alvent Yulianto
Q18421453,Subiakto Tjakrawerdaya
Q4189748,Roy Marten
Q15882992,Toto Koopman
Q4251401,Untung Syamsuri
Q56400139,Aries Susanti Rahayu
Q3231014,Roestam Effendi
Q5989792,Idrus
Q4273018,Anang Hermansyah
Q706366,Liem Swie King
Q4815161,Elizabeth A. Widjaja
Q503650,Max van Egmond
Q699041,Fuad Hassan
Q1383895,Hubertus Johannes van Mook
Q4423167,Winarni Binti Slamet
Q4264061,Sinta Nuriyah
Q4272199,Gombloh
Q6761640,Maria Ulfah
Q15498314,Daryono
Q5261540,Gatot Soebroto
Q441620,Shendy Puspa Irawati
Q1306699,Soebandrio
Q1022998,Nicky Astria
Q3244615,Adipati Dolken
Q4188193,Tamara Bleszynski
Q4232763,Sijfert Hendrik Koorders
Q4272043,Djoko Iskandar
Q4273038,Trie Utami
Q87672993,Corona Rintawan
Q6425253,Melody Nurramdhani Laksani
Q7322170,Rianti Cartwright
Q7333042,Ridwan Kamil
Q7805962,Agus Harimurti Yudhoyono
Q519540,Eliza Nathanael
Q664383,Hendrik Cornelis Siebers
Q941903,Kick Stokhuyzen
Q967941,Roeslan Abdulgani
Q1281022,Hugo van Lawick
Q1321945,John Wijngaards
Q1352144,Guus van Hecking Colenbrander
Q2424939,Bima Sakti Tukiman
Q12512127,Saphira Indah
Q1754466,Dolf van der Nagel
Q3136157,Rudi Soedjarwo
Q3658142,Kwee Tek Hoay
Q18421371,Setya Novanto
Q4261583,Olla Ramlan
Q2196837,André Wetzel
Q2248705,Erik Hazelhoff Roelfzema
Q2526777,Vincentius Sutikno Wisaksono
Q2603608,Mas Tirtodarmo Harjono
Q7438987,Soe Tjen Marching
Q12486743,Iqbaal Ramadhan
Q17411245,Samuel Oton Sidin
Q6492661,Kusumah Atmaja
Q981547,Frans Seda
Q7461716,Wilhelmus Zakaria Johannes
Q12485593,Herman Johannes
Q96989495,Ali Taher
Q1419304,Jack Jersey
Q441642,Erna Spoorenberg
Q731740,Wiranto
Q1706622,Saeroen
Q2140777,Paku Alam VIII
Q3241958,Morgan Oey
Q16724322,Ihsan Maulana Mustofa
Q60307,Richi Puspita Dili
Q1620119,Hans Stam
Q4790571,Arifin C. Noer
Q12478640,Chitra Dewi
Q4264877,Desy Ratnasari
Q28976374,Ikhsan Rumbay
Q4116077,Syamsul Bachri Chaeruddin
Q75989,Hans Gugelot
Q127986,David Jacobs
Q4975924,Paramitha Rusady
Q558988,Carel Herman Aart van der Wijck
Q3498278,Ricardo Salampessy
Q4200660,Broery Marantika
Q18177473,Maria Natalia Londa
Q1766782,Umar Patek
Q2313666,Jaya Suprana
Q2084730,Oktovianus Maniani
Q3083011,Frans Kaisiepo
Q4199372,Evan Sanders
Q4200563,Ellyas Pical
Q6771459,Markus Haris Maulana
Q4250996,D.I. Pandjaitan
Q2649325,Ahmad Syafii Maarif
Q4250939,Adinegoro
Q4252062,Utuy Tatang Sontani
Q255619,Zaenal Arief
Q528116,Rian Agung Saputra
Q4202200,Hasyim Asyari
Q6828395,Michael Bambang Hartono
Q497951,Andreas Henrisusanta
