item,itemLabel,itemDescription,sitelinks
http://www.wikidata.org/entity/Q176412,Gesang,penyanyi-pencipta lagu Indonesia,14
http://www.wikidata.org/entity/Q425634,Wynne Prakusya,pemain tenis asal Indonesia,14
http://www.wikidata.org/entity/Q2067820,W. S. Rendra,penyair dan pemeran asal Indonesia,14
http://www.wikidata.org/entity/Q4201169,Tien Soeharto,Pahlawan Revolusi Kemerdekaan,14
http://www.wikidata.org/entity/Q5645435,Prof. Dr. Hamka,"ulama, wartawan, sastrawan",14
http://www.wikidata.org/entity/Q3503054,Mohammad Yamin,pahlawan nasional Indonesia,14
http://www.wikidata.org/entity/Q1966045,Christine Marie Berkhout,ahli biologi asal Kerajaan Belanda,14
http://www.wikidata.org/entity/Q961856,Ricky Subagja,badminton player,14
http://www.wikidata.org/entity/Q2042915,André Boerstra,Dutch field hockey player,14
http://www.wikidata.org/entity/Q5262511,Sherina Munaf,penyanyi dan pemeran perempuan asal Indonesia,14
http://www.wikidata.org/entity/Q524312,Nitya Krishinda Maheswari,pemain bulu tangkis asal Indonesia,14
http://www.wikidata.org/entity/Q6116223,Roekiah,pemeran perempuan asal Indonesia,14
http://www.wikidata.org/entity/Q1352833,Just Göbel,Dutch footballer (1891-1984),14
http://www.wikidata.org/entity/Q1352954,Johan Adolph Frederik Kok,Dutch footballer (1889-1958),14
http://www.wikidata.org/entity/Q1282508,Johan Wilhelm Eduard Sol,Dutch footballer (1881-1965),14
http://www.wikidata.org/entity/Q3085419,Lilies Handayani,pemanah perempuan asal Indonesia,14
http://www.wikidata.org/entity/Q4200758,Ani Yudhoyono,Ibu Negara Republik Indonesia ke-6,14
http://www.wikidata.org/entity/Q76344,Hamzah Haz,Wakil Presiden Indonesia ke-9,14
http://www.wikidata.org/entity/Q55441062,Lalu Muhammad Zohri,pelari Indonesia,14
http://www.wikidata.org/entity/Q1427090,Flandy Limpele,badminton player,14
http://www.wikidata.org/entity/Q3085192,Kusuma Wardhani,pemanah perempuan asal Indonesia,14
http://www.wikidata.org/entity/Q203527,Nicolaas Jan Jerôme Bouvij,Dutch footballer (1892-1957),14
http://www.wikidata.org/entity/Q2648661,Teuku Umar,Pahlawan Revolusi Kemerdekaan,14
http://www.wikidata.org/entity/Q983087,Nazril Irham,penyanyi Indonesia,14
http://www.wikidata.org/entity/Q3140305,Dewi Sartika,Pahlawan Revolusi Kemerdekaan,14
http://www.wikidata.org/entity/Q979967,Hermawan Susanto,badminton player,14
http://www.wikidata.org/entity/Q1052659,Cees ten Cate,Dutch footballer (1890-1972),14
http://www.wikidata.org/entity/Q1283081,Eddy Hartono,badminton player,13
http://www.wikidata.org/entity/Q11713880,Irene Kharisma Sukandar,pecatur Indonesia,13
http://www.wikidata.org/entity/Q15646541,Puan Maharani,politisi Indonesia,13
http://www.wikidata.org/entity/Q704791,Leo Bosschart,Dutch footballer (1888-1951),13
http://www.wikidata.org/entity/Q4264466,Malahayati,Pahlawan Revolusi Kemerdekaan,13
http://www.wikidata.org/entity/Q1352820,Frans de Bruijn Kops,Dutch footballer (1886-1979),13
http://www.wikidata.org/entity/Q954295,John Juanda,American-Indonesian poker player,13
http://www.wikidata.org/entity/Q2083488,Ben Verweij,Dutch footballer (1895-1951),13
http://www.wikidata.org/entity/Q26838133,Aldila Sutjiadi,Pemain tenis Indonesia,13
http://www.wikidata.org/entity/Q76306,Umar Wirahadikusumah,politisi Indonesia,13
http://www.wikidata.org/entity/Q71619,Wilhelm Homberg,Alkimiawan Belanda,13
http://www.wikidata.org/entity/Q202355,Arthur van Schendel,Dutch writer,13
http://www.wikidata.org/entity/Q336042,Aburizal Bakrie,politikus dan pebisnis Indonesia,13
http://www.wikidata.org/entity/Q485781,Ananda Mikola,Pembalap mobil profesional dan pemeran laki-laki asal Indonesia,13
http://www.wikidata.org/entity/Q816446,Bernard Bot,Dutch diplomat,13
http://www.wikidata.org/entity/Q1862046,Rob Slotemaker,Dutch racing driver,13
http://www.wikidata.org/entity/Q4201140,Taufiq Kiemas,politikus Indonesia,13
http://www.wikidata.org/entity/Q52586206,Niki,penyanyi dan penulis lagu Indonesia,13
http://www.wikidata.org/entity/Q4374536,Maudy Ayunda,penyanyi Indonesia,13
http://www.wikidata.org/entity/Q5113178,Christopher Rungkat,Indonesian tennis player,13
http://www.wikidata.org/entity/Q2614742,Julius Theodoor Ancion,field hockey player (1924-2011),13
http://www.wikidata.org/entity/Q2094298,Rudy Gunawan,badminton player,13
http://www.wikidata.org/entity/Q2367341,Albertus Soegijapranata,uskup Indonesia,13
http://www.wikidata.org/entity/Q392335,Nafa Urbach,pemeran perempuan asal Indonesia,13
http://www.wikidata.org/entity/Q2670449,Taufiq Ismail,"penyair, penulis, dan aktivis",13
http://www.wikidata.org/entity/Q452839,Wybo Veldman,New Zealand rower,13
http://www.wikidata.org/entity/Q76317,Soedharmono,Wakil Presiden Indonesia ke-5,13
http://www.wikidata.org/entity/Q1177170,David Wijnveldt,Dutch footballer (1891-1962),13
http://www.wikidata.org/entity/Q2467467,André Joseph Guillaume Henri Kostermans,Dutch botanist (1907-1994),13
http://www.wikidata.org/entity/Q30945670,Zhong Chenle,Chinese singer and actor,13
http://www.wikidata.org/entity/Q1953315,Munir Said Thalib,Politisi Indonesia,13
http://www.wikidata.org/entity/Q5262520,Nike Ardilla,penyanyi dan pemeran perempuan asal Indonesia,13
http://www.wikidata.org/entity/Q818410,Benyamin Sueb,pemeran laki-laki asal Indonesia,13
http://www.wikidata.org/entity/Q580563,Inul Daratista,penyanyi Indonesia,13
http://www.wikidata.org/entity/Q1209725,Richard MacNeill,Dutch footballer (1898-1963),13
http://www.wikidata.org/entity/Q3141350,Jodi Ann Paterson,pemeran perempuan asal Amerika Serikat,13
http://www.wikidata.org/entity/Q977126,Hein ter Poorten,Dutch general,13
http://www.wikidata.org/entity/Q1755541,Suzanna,pemeran perempuan asal Indonesia,13
http://www.wikidata.org/entity/Q2179883,Herman Meyboom,Belgian water polo player,13
http://www.wikidata.org/entity/Q4695259,Ahmad Albar,penyanyi asal Indonesia,13
http://www.wikidata.org/entity/Q1522399,Walter Thijssen,Dutch rower,13
http://www.wikidata.org/entity/Q1352122,Miel Mundt,Dutch footballer (1880-1949),13
http://www.wikidata.org/entity/Q5111696,Luna Maya,pemeran perempuan asal Indonesia,13
http://www.wikidata.org/entity/Q2784089,Pattimura,Pahlawan Revolusi Kemerdekaan,13
http://www.wikidata.org/entity/Q1755191,Sutan Takdir Alisjahbana,sastrawan Indonesia,13
http://www.wikidata.org/entity/Q520550,Henricus Tromp,Dutch rower (1878-1962),13
http://www.wikidata.org/entity/Q12507726,Raisa Andriana,penyanyi Indonesia,12
http://www.wikidata.org/entity/Q14978306,Jonatan Christie,Indonesian badminton player,12
http://www.wikidata.org/entity/Q732439,Hasan Muhammad di Tiro,pendiri Gerakan Aceh Merdeka,12
http://www.wikidata.org/entity/Q508725,Rachel Blakely,Australian actress,12
http://www.wikidata.org/entity/Q400815,Dukun AS,Ahmad Suradji,12
http://www.wikidata.org/entity/Q1036773,Carl Anton Wilhelm Hirschmann,"Banker, General Secretary of FIFA (1877-1951)",12
http://www.wikidata.org/entity/Q2001344,Artika Sari Devi,pemeran perempuan asal Indonesia,12
http://www.wikidata.org/entity/Q4755130,Andrea Hirata,penulis Indonesia,12
http://www.wikidata.org/entity/Q2992817,Ahmad Yani,pahlawan nasional Indonesia,12
http://www.wikidata.org/entity/Q4992140,Rosihan Anwar,"Jurnalis, editor, dan penulis kontemporer Indonesia",12
http://www.wikidata.org/entity/Q2509252,Hamengkubuwana II,sultan Yogyakarta,12
http://www.wikidata.org/entity/Q468329,Vita Marissa,mantan pemain bulu tangkis asal Indonesia,12
http://www.wikidata.org/entity/Q517317,Rano Karno,politikus dan pemeran laki-laki asal Indonesia,12
http://www.wikidata.org/entity/Q973183,Rein van Bemmelen,Dutch geologist (1904-1983),12
