item,itemLabel
http://www.wikidata.org/entity/Q163022,Maasai
http://www.wikidata.org/entity/Q163334,Q163334
http://www.wikidata.org/entity/Q163340,Redarians
http://www.wikidata.org/entity/Q163353,Ukrani
http://www.wikidata.org/entity/Q163358,Linones
http://www.wikidata.org/entity/Q164650,Sprevane
http://www.wikidata.org/entity/Q164733,Karo
http://www.wikidata.org/entity/Q164811,Atrebates
http://www.wikidata.org/entity/Q165148,Hevelli
http://www.wikidata.org/entity/Q165192,Bangsa Swedia
http://www.wikidata.org/entity/Q165320,Cocopah people
http://www.wikidata.org/entity/Q166176,Suku Nenets
http://www.wikidata.org/entity/Q167122,Daju people
http://www.wikidata.org/entity/Q167395,Jassic people
http://www.wikidata.org/entity/Q167420,Bangsa Kroasia
http://www.wikidata.org/entity/Q167577,Suku Lemba
http://www.wikidata.org/entity/Q167624,Boya people
http://www.wikidata.org/entity/Q168499,Korean Canadians
http://www.wikidata.org/entity/Q169260,Moor
http://www.wikidata.org/entity/Q170056,Yörüks
http://www.wikidata.org/entity/Q170088,Herero people
http://www.wikidata.org/entity/Q170217,Bangsa Ceko
http://www.wikidata.org/entity/Q170284,Bangsa Finlandia
http://www.wikidata.org/entity/Q170352,Sachsen Transilvania
http://www.wikidata.org/entity/Q170826,Bangsa Irlandia
http://www.wikidata.org/entity/Q171336,Bangsa Slowakia
http://www.wikidata.org/entity/Q171795,Bangsa Abkhaz
http://www.wikidata.org/entity/Q171927,Pigmi
http://www.wikidata.org/entity/Q172365,Suku San
http://www.wikidata.org/entity/Q172717,Orang Avar
http://www.wikidata.org/entity/Q173302,Bangsa Estonia
http://www.wikidata.org/entity/Q173371,Suku Bantu
http://www.wikidata.org/entity/Q173491,Suku Tamil
http://www.wikidata.org/entity/Q175655,Q175655
http://www.wikidata.org/entity/Q175823,Kamilaroi
http://www.wikidata.org/entity/Q176096,Walddeutsche
http://www.wikidata.org/entity/Q176203,Xerente people
http://www.wikidata.org/entity/Q176825,Suku Batavi
http://www.wikidata.org/entity/Q178419,Šokci
http://www.wikidata.org/entity/Q178484,Mapuche
http://www.wikidata.org/entity/Q178631,Kanak
http://www.wikidata.org/entity/Q179248,Bangsa Albania
http://www.wikidata.org/entity/Q180361,Gagauz
http://www.wikidata.org/entity/Q180688,suku Badui
http://www.wikidata.org/entity/Q181634,Bangsa Skotlandia
http://www.wikidata.org/entity/Q183573,Suku Hui
http://www.wikidata.org/entity/Q184922,Orang Udmurt
http://www.wikidata.org/entity/Q185261,Chenchu people
http://www.wikidata.org/entity/Q185549,Karamojong
http://www.wikidata.org/entity/Q186192,Bangsa Lituania
http://www.wikidata.org/entity/Q187985,Bangsa Tibet
http://www.wikidata.org/entity/Q188201,Bangsa Boer
http://www.wikidata.org/entity/Q188353,Bangsa Wales
http://www.wikidata.org/entity/Q188836,Xiongnu
http://www.wikidata.org/entity/Q189975,Inuit
http://www.wikidata.org/entity/Q190168,Orang Yoruba
http://www.wikidata.org/entity/Q190209,Bangsa Kalmuk
http://www.wikidata.org/entity/Q191669,Germans of Croatia
http://www.wikidata.org/entity/Q191710,Orang Aleut
http://www.wikidata.org/entity/Q191730,Suku Evenk
http://www.wikidata.org/entity/Q192604,Balkar
http://www.wikidata.org/entity/Q192616,Nogai
http://www.wikidata.org/entity/Q192647,Hutu
http://www.wikidata.org/entity/Q192858,Orang Tokharia
http://www.wikidata.org/entity/Q193067,Suku Tuva
http://www.wikidata.org/entity/Q193092,Tutsi
http://www.wikidata.org/entity/Q198909,Sartuul
http://www.wikidata.org/entity/Q200263,Parsi India
http://www.wikidata.org/entity/Q200453,Bari people
http://www.wikidata.org/entity/Q200513,Sherpa
http://www.wikidata.org/entity/Q201024,Mohegan
http://www.wikidata.org/entity/Q201028,Orang Khmer
http://www.wikidata.org/entity/Q201111,Arumania
http://www.wikidata.org/entity/Q201190,Bangsa Palestina
http://www.wikidata.org/entity/Q201501,Suku Baloch
http://www.wikidata.org/entity/Q201711,Wateree people
http://www.wikidata.org/entity/Q202335,Latini
http://www.wikidata.org/entity/Q202353,Alur people
http://www.wikidata.org/entity/Q202511,Rikbaktsa people
http://www.wikidata.org/entity/Q202547,Khevsurians
http://www.wikidata.org/entity/Q202575,Fula
http://www.wikidata.org/entity/Q202778,Zigula people
http://www.wikidata.org/entity/Q202860,Tolupan people
http://www.wikidata.org/entity/Q203178,Kikuyu
http://www.wikidata.org/entity/Q203319,Orang Komi
http://www.wikidata.org/entity/Q203711,Suku Doria
http://www.wikidata.org/entity/Q203747,Suku Baka
http://www.wikidata.org/entity/Q204333,Warga Arab di Israel
http://www.wikidata.org/entity/Q205006,Orang Amis
http://www.wikidata.org/entity/Q205377,Ghilzai
http://www.wikidata.org/entity/Q205534,Jerman Zipser
http://www.wikidata.org/entity/Q206020,Kirkipania
http://www.wikidata.org/entity/Q206642,Orang Burgher
http://www.wikidata.org/entity/Q207023,Orang Liguria
http://www.wikidata.org/entity/Q207050,Suku Buryat
http://www.wikidata.org/entity/Q207750,Suku Nikobar
http://www.wikidata.org/entity/Q207912,Mongoloid
http://www.wikidata.org/entity/Q207996,Suku Xhosa
http://www.wikidata.org/entity/Q208176,Morisco
http://www.wikidata.org/entity/Q208551,Suku Laz
http://www.wikidata.org/entity/Q209003,Hamnigan
http://www.wikidata.org/entity/Q209959,Suku Miao
http://www.wikidata.org/entity/Q210258,Serica
http://www.wikidata.org/entity/Q210332,Suku Haida
http://www.wikidata.org/entity/Q210561,indigenous peoples of the Pacific Northwest Coast
http://www.wikidata.org/entity/Q210623,Taíno
http://www.wikidata.org/entity/Q211018,Suku Kumyk
http://www.wikidata.org/entity/Q211052,Bangsa Slav Timur
http://www.wikidata.org/entity/Q211720,Suku Afar
http://www.wikidata.org/entity/Q212106,Dinka people
http://www.wikidata.org/entity/Q212853,Bangsa Dacia
http://www.wikidata.org/entity/Q213040,Abazins
http://www.wikidata.org/entity/Q213396,Suku Wyandot
http://www.wikidata.org/entity/Q213422,Suku Seneca
http://www.wikidata.org/entity/Q213470,Suku Karelia
http://www.wikidata.org/entity/Q214361,Suku Mari
http://www.wikidata.org/entity/Q215583,Dogon
http://www.wikidata.org/entity/Q216096,Suku Kam
http://www.wikidata.org/entity/Q216151,Etnis Vietnam
http://www.wikidata.org/entity/Q216839,Penduduk asli Taiwan
http://www.wikidata.org/entity/Q217397,Wolof
http://www.wikidata.org/entity/Q217464,Suku Daur
http://www.wikidata.org/entity/Q217815,Suku Nakhi
http://www.wikidata.org/entity/Q218243,Makoa
http://www.wikidata.org/entity/Q218332,Bangsa Khitan
http://www.wikidata.org/entity/Q218808,Mahafaly
http://www.wikidata.org/entity/Q219205,Hmong
http://www.wikidata.org/entity/Q219252,Khoi
http://www.wikidata.org/entity/Q219517,Dalit
http://www.wikidata.org/entity/Q219995,Guanche
http://www.wikidata.org/entity/Q220379,venetans
http://www.wikidata.org/entity/Q221585,Hungarian Brazilian
http://www.wikidata.org/entity/Q222175,Orang Kernowyon
http://www.wikidata.org/entity/Q225469,Suku Puyallup
http://www.wikidata.org/entity/Q230469,Zuruahã people
http://www.wikidata.org/entity/Q239577,Ibibio people
http://www.wikidata.org/entity/Q240123,Kerajaan India-Skithia
http://www.wikidata.org/entity/Q240293,Suku Khakas
http://www.wikidata.org/entity/Q240342,Lendians
http://www.wikidata.org/entity/Q241696,Suku Somali
http://www.wikidata.org/entity/Q241843,Tikar people
http://www.wikidata.org/entity/Q242485,Suku Flemish
http://www.wikidata.org/entity/Q243274,Suku Karachai
http://www.wikidata.org/entity/Q244028,Kabarday
http://www.wikidata.org/entity/Q244157,Suku Igbo
http://www.wikidata.org/entity/Q244735,Orang Altai
http://www.wikidata.org/entity/Q245794,Cypriot Yunani
http://www.wikidata.org/entity/Q245807,Turki Siprus
http://www.wikidata.org/entity/Q247007,Waccamaw Siouan
http://www.wikidata.org/entity/Q249893,Qashqai people
http://www.wikidata.org/entity/Q252692,Karamanlides
http://www.wikidata.org/entity/Q252885,Banjara
http://www.wikidata.org/entity/Q253410,Orang Chuvash
http://www.wikidata.org/entity/Q253436,Shawnee
http://www.wikidata.org/entity/Q253482,Faliski
http://www.wikidata.org/entity/Q254222,Tat people
http://www.wikidata.org/entity/Q254365,Assyrians in Georgia
http://www.wikidata.org/entity/Q254387,Orang Asli
http://www.wikidata.org/entity/Q254511,Armenians in Sudan
http://www.wikidata.org/entity/Q255872,Ojibwe
http://www.wikidata.org/entity/Q256937,Orang Aesti
http://www.wikidata.org/entity/Q257174,Eora
http://www.wikidata.org/entity/Q257528,Suits
http://www.wikidata.org/entity/Q258571,Erie people
http://www.wikidata.org/entity/Q259469,British Bangladeshi
http://www.wikidata.org/entity/Q260152,Greeks in Ukraine
http://www.wikidata.org/entity/Q262457,Orang Métis Kanada
http://www.wikidata.org/entity/Q263176,Baster
http://www.wikidata.org/entity/Q264993,Saho people
http://www.wikidata.org/entity/Q265188,Q265188
http://www.wikidata.org/entity/Q265730,Aborigin Tasmania
http://www.wikidata.org/entity/Q265962,Krahn people
http://www.wikidata.org/entity/Q266223,Ghomara
http://www.wikidata.org/entity/Q266527,Hungarians in Austria
http://www.wikidata.org/entity/Q267410,Pipil people
http://www.wikidata.org/entity/Q267512,Chango people
http://www.wikidata.org/entity/Q268467,Psili
http://www.wikidata.org/entity/Q271790,Suku Karen
http://www.wikidata.org/entity/Q273824,Slavia Selatan
